Величина;Символ;Единица (по СИ);Значение
Частота;v; Гц (Герц);
Период;T;с (секунда);
Радиус;r;м (метр);
Диаметр;d;м (метр);
Длина окружности;l;м (метр);
Линейная скорость;V;м/с (метры в секунду);
Угол поворота;φ;рад (радианы);
Время поворота;t;с (секунда);
Угловая скорость;ꞷ;рад/c (радиан в секунду);
Центростремительное ускорение;a;м/с^2 (метры в секунду в квадрате);
